id,midden,midden.S,tree,lat,long,serotiny,dbh,distance,direction,cones.sampled,length,width,width.scale,count.seeds,mass.cone,mass.seed,mass.ratio,count.before,count.after,predation,jdate.cone,ns.season
2.19.09,19,0.5,9,41.05.611,106.07.831,S,13.7,18,S,3,29.12666667,18.64666667,4.710555556,16.33333333,2.832366667,0.037777778,0.013329672,1,0,1,252,NA
2.19.13,19,0.5,13,41.05.603,106.07.845,S,14.6,36,S,3,32.34,20.71,4.249126984,12.33333333,3.5957,0.02406,0.006652817,1,1,0,252,NA
2.19.14,19,0.5,14,41.05.605,106.07.850,S,15,32,SW,3,33.54666667,20.95333333,4.785,22,3.742233333,0.0436,0.011584989,1,1,0,252,NA
2.19.19,19,0.5,19,41.05.627,106.07.864,S,19.1,39,W,3,34.43666667,26.72333333,4.23,20.33333333,5.755333333,0.053406667,0.009181941,7,6,0.142857143,252,NA
2.22.01,22,0.5,1,41.05.668,106.07.679,S,23.2,32,N,2,27.575,20.73,4.854166667,10,3.05575,0.01781,0.004308385,2,2,0,252,NA
2.22.03,22,0.5,3,41.05.670,106.07.670,S,21.7,15,E,3,36.76666667,21.82666667,5.131666667,15.66666667,5.080166667,0.03994,0.007416768,3,3,0,252,NA
2.22.06,22,0.5,6,41.05.639,106.07.673,S,22.6,25,SE,2,27.955,17.6,3.753333333,0,2.06765,0,0,2,2,0,252,NA
2.22.09,22,0.5,9,41.05.632,106.07.678,S,17.8,34,S,2,36.905,22.745,4.1125,0,4.5792,0,0,2,2,0,252,NA
2.22.10,22,0.5,10,41.05.636,106.07.691,S,19.4,28,S,3,37.32666667,25.28333333,5.426666667,18.33333333,5.307933333,0.039493333,0.007356402,3,3,0,252,NA
2.22.21,22,0.5,21,41.05.660,106.07.710,S,20.4,41,W,3,47.96333333,27.47333333,5.76,42.66666667,8.003933333,0.15498,0.019468332,3,0,1,252,NA
2.24.04,24,0.25,4,41.05.407,106.08.671,S,20.7,22,N,1,26.39,20.36,4.385,3,2.7251,0.0075,0.002752193,6,6,0,251,NA
2.24.08,24,0.25,8,41.05.380,106.08.670,S,25.2,22,S,3,32.18333333,23.39,5.159444444,13.3333333,3.546133333,0.029726667,0.008168956,2,2,0,251,NA
2.24.11,24,0.25,11,41.05.384,106.08.676,S,16.9,21,S,3,40.05333333,24.75,5.817222222,24.6666667,6.165233333,0.074713333,0.011721787,1,1,0,251,NA
2.24.15,24,0.25,15,41.05.401,106.08.692,S,21.3,34,NW,3,37.55,22.79,5.533888889,21,4.1691,0.046606667,0.011082227,4,4,0,255,NA
